index,Gênero,Idoso,Parceiro,Dependentes,Fidelidade,Churn,Internet,Segurança Online,Backup Online,Proteção no Dispositivo,Suporte Técnico,TV a Cabo,Streaming de Filmes,Serviço Telefônico,Diversas Linhas de Telefone,Contrato,Fatura Online,Método de Pagamento,Despesa Mensal,Despesa Total,Gasto Diário
18,Male,1,Não,Não,45,Sim,DSL,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Um ano,Não,Credit card (automatic),62.7,2791.5,2.02
19,Male,1,Não,Não,1,Sim,DSL,Não,Não,Não,Não,Não,Não,Não,Sem serviço telefônico,Mensal,Sim,Débito eletrônico,25.1,25.1,0.42
20,Female,1,Sim,Não,50,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Um ano,Não,Débito eletrônico,25.2,1306.3,0.85
21,Female,0,Sim,Não,13,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Mensal,Não,Débito eletrônico,94.1,1215.6,2.89
22,Female,0,Sim,Sim,23,Não,Fibra ótica,Não,Não,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,83.75,1849.95,2.57
23,Female,0,Não,Não,3,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,19.85,57.2,0.48
24,Female,0,Sim,Sim,4,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,20.35,76.35,0.51
25,Female,0,Sim,Sim,1,Sim,DSL,Sim,Não,Não,Não,Não,Não,Não,Sem serviço telefônico,Mensal,Não,Bank transfer (automatic),30.5,30.5,0.51
26,Female,0,Sim,Sim,55,Não,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Um ano,Sim,Bank transfer (automatic),103.7,5656.75,3.37
27,Male,0,Sim,Sim,54,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Não,Credit card (automatic),20.4,1090.6,0.66
28,Male,0,Não,Não,26,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Sim,Bank transfer (automatic),19.6,471.85,0.58
29,Female,0,Sim,Sim,69,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Não,Bank transfer (automatic),19.7,1396.9,0.67
31,Male,0,Sim,Sim,37,Não,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Sim,Não,Um ano,Não,Credit card (automatic),91.2,3247.55,2.85
32,Female,0,Sim,Não,49,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Não,Bank transfer (automatic),20.45,900.9,0.6
33,Male,0,Sim,Não,66,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Não,Bank transfer (automatic),115.8,7942.15,3.95
34,Female,0,Não,Não,67,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Não,Débito eletrônico,20.55,1343.4,0.66
35,Male,0,Sim,Sim,20,Não,DSL,Sim,Não,Sim,Sim,Não,Não,Não,Sem serviço telefônico,Dois anos,Sim,Credit card (automatic),39.4,825.4,1.31
36,Female,0,Não,Sim,43,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Dois anos,Sim,Débito eletrônico,25.1,1070.15,0.81
37,Female,0,Sim,Não,55,Não,Fibra ótica,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Bank transfer (automatic),89.8,4959.6,2.95
38,Female,0,Sim,Não,59,Não,Fibra ótica,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,94.75,5597.65,3.11
39,Female,0,Sim,Sim,12,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Não,Bank transfer (automatic),20.3,224.5,0.58
40,Male,0,Sim,Sim,27,Não,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Bank transfer (automatic),75.75,1929.0,2.3
41,Male,1,Não,Não,2,Sim,DSL,Sim,Não,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,49.25,91.1,1.01
42,Female,0,Não,Não,27,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Um ano,Não,Pagamento físico,78.2,2078.95,2.47
43,Male,0,Sim,Sim,25,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Dois anos,Não,Credit card (automatic),25.5,630.6,0.81
44,Male,0,Sim,Sim,25,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Um ano,Sim,Bank transfer (automatic),61.6,1611.0,2.07
45,Male,0,Não,Sim,29,Não,DSL,Sim,Sim,Sim,Sim,Não,Não,Não,Sem serviço telefônico,Mensal,Sim,Pagamento físico,45.0,1242.45,1.38
46,Male,0,Sim,Não,72,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Bank transfer (automatic),85.15,6316.2,2.88
47,Female,0,Não,Não,14,Não,DSL,Não,Sim,Não,Não,Não,Não,Sim,Não,Um ano,Não,Credit card (automatic),51.45,727.85,1.62
48,Female,0,Não,Não,35,Não,Fibra ótica,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Um ano,Sim,Débito eletrônico,99.25,3532.0,3.27
49,Male,0,Não,Não,1,Não,DSL,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Pagamento físico,44.3,44.3,0.74
50,Male,0,Não,Não,29,Não,Fibra ótica,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,94.2,2607.6,2.9
51,Male,0,Não,Não,64,Não,DSL,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Um ano,Não,Débito eletrônico,81.25,5567.55,2.86
52,Female,0,Sim,Sim,39,Não,Fibra ótica,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Credit card (automatic),99.95,3767.4,3.14
53,Female,1,Não,Não,40,Não,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,91.55,3673.6,2.99
54,Male,0,Não,Não,40,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Credit card (automatic),104.5,4036.85,3.28
55,Female,1,Não,Não,11,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,95.0,1120.3,3.11
56,Female,0,Sim,Não,6,Não,DSL,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Débito eletrônico,50.35,314.55,1.5
57,Male,0,Não,Não,30,Não,DSL,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Pagamento físico,64.5,1888.45,2.03
58,Male,0,Não,Não,27,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Sim,Débito eletrônico,19.4,529.8,0.63
59,Male,1,Sim,Não,70,Não,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Um ano,Sim,Débito eletrônico,104.8,7308.95,3.43
60,Female,0,Sim,Não,57,Não,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Bank transfer (automatic),109.4,6252.7,3.59
61,Male,0,Sim,Não,58,Não,DSL,Não,Não,Sim,Não,Não,Não,Sim,Não,Um ano,Não,Credit card (automatic),50.3,2878.55,1.63
62,Male,0,Não,Não,16,Não,DSL,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Mensal,Sim,Bank transfer (automatic),71.4,1212.1,2.38
63,Female,0,Sim,Não,69,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Débito eletrônico,116.0,8182.85,3.9
64,Male,0,Não,Não,1,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Sim,Débito eletrônico,19.85,19.85,0.33
65,Male,0,Não,Sim,1,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,99.75,99.75,1.66
66,Male,1,Sim,Sim,32,Não,Fibra ótica,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,Pagamento físico,93.95,2861.45,2.89
67,Male,0,Sim,Sim,16,Não,Fibra ótica,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Mensal,Sim,Bank transfer (automatic),90.8,1442.2,2.83
68,Male,0,Sim,Não,49,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Não,Débito eletrônico,84.35,4059.35,2.71
69,Female,0,Sim,Não,71,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Não,Sem serviço telefônico,Dois anos,Não,Bank transfer (automatic),58.25,4145.9,1.92
70,Female,0,Não,Não,33,Não,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Não,Débito eletrônico,107.55,3645.5,3.57
71,Female,0,Sim,Não,10,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Sim,Bank transfer (automatic),19.95,187.75,0.57
72,Male,0,Sim,Não,21,Sim,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,111.2,2317.1,3.51
73,Male,0,Sim,Sim,37,Sim,DSL,Sim,Sim,Sim,Não,Não,Não,Não,Sem serviço telefônico,Mensal,Não,Bank transfer (automatic),40.2,1448.8,1.27
74,Female,1,Não,Não,26,Não,Fibra ótica,Sim,Não,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Credit card (automatic),85.8,2193.65,2.71
76,Male,0,Não,Não,50,Não,DSL,Sim,Não,Não,Sim,Não,Não,Não,Sem serviço telefônico,Um ano,Sim,Pagamento físico,35.4,1748.9,1.14
77,Female,0,Não,Não,7,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,73.85,511.25,2.13
78,Female,0,Sim,Sim,61,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Pagamento físico,88.1,5526.75,2.97
79,Male,0,Não,Não,15,Sim,Fibra ótica,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,101.35,1553.95,3.24
80,Female,0,Não,Sim,26,Não,DSL,Sim,Não,Não,Sim,Não,Sim,Não,Sem serviço telefônico,Mensal,Não,Pagamento físico,45.8,1147.0,1.42
81,Male,0,Sim,Não,72,Não,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,94.65,6747.35,3.08
82,Male,0,Sim,Sim,44,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Sim,Bank transfer (automatic),20.5,865.05,0.64
83,Male,0,Não,Não,66,Não,Fibra ótica,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Mensal,Não,Credit card (automatic),89.4,5976.9,2.97
84,Female,0,Não,Não,2,Sim,Fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,86.25,181.65,2.02
85,Female,1,Não,Não,44,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Um ano,Não,Bank transfer (automatic),74.85,3268.05,2.42
86,Female,0,Não,Não,12,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Bank transfer (automatic),89.75,1052.4,2.7
87,Male,1,Sim,Não,69,Não,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Débito eletrônico,109.95,7634.25,3.64
88,Female,0,Não,Não,1,Sim,Fibra ótica,Não,Sim,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Pagamento físico,80.2,80.2,1.34
89,Female,0,Não,Não,3,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,19.85,63.75,0.53
90,Female,0,Sim,Não,2,Não,Fibra ótica,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Mensal,Não,Débito eletrônico,90.35,190.5,2.12
91,Female,1,Não,Não,27,Não,Fibra ótica,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Mensal,Sim,Bank transfer (automatic),86.45,2401.05,2.86
92,Male,0,Não,Não,26,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Sim,Débito eletrônico,20.3,511.25,0.63
93,Female,1,Sim,Não,39,Não,Fibra ótica,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,101.25,3949.15,3.29
94,Male,0,Não,Não,25,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Bank transfer (automatic),94.7,2362.1,3.03
95,Female,0,Não,Não,1,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Não,Pagamento físico,70.9,70.9,1.18
97,Male,0,Sim,Não,22,Sim,DSL,Sim,Não,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,54.2,1152.7,1.67
99,Female,0,Não,Não,72,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Débito eletrônico,114.9,8496.7,3.88
100,Female,0,Não,Não,24,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Sim,Bank transfer (automatic),19.55,470.2,0.63
101,Female,0,Sim,Não,19,Não,Fibra ótica,Não,Não,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,86.85,1564.4,2.61
102,Male,0,Sim,Sim,71,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Dois anos,Não,Credit card (automatic),25.35,1847.55,0.86
103,Male,1,Sim,Não,33,Não,Fibra ótica,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Bank transfer (automatic),109.9,3694.7,3.62
104,Female,0,Não,Não,3,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,19.95,58.0,0.48
105,Male,0,Sim,Sim,47,Não,Fibra ótica,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Mensal,Não,Débito eletrônico,87.2,4017.45,2.79
106,Male,0,Sim,Sim,62,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Dois anos,Não,Pagamento físico,108.15,6825.65,3.61
107,Male,0,Não,Não,71,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Bank transfer (automatic),116.3,8309.55,3.85
108,Male,1,Sim,Não,7,Não,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,89.0,605.45,2.52
109,Female,0,Sim,Sim,27,Não,Fibra ótica,Sim,Não,Não,Não,Não,Não,Sim,Não,Mensal,Não,Pagamento físico,74.4,1972.35,2.35
110,Male,0,Não,Não,2,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,20.05,33.7,0.37
111,Female,0,Não,Sim,25,Não,DSL,Sim,Não,Não,Sim,Não,Não,Não,Sem serviço telefônico,Dois anos,Não,Bank transfer (automatic),35.05,844.45,1.08
112,Male,1,Não,Não,30,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,74.75,2111.3,2.27
113,Female,1,Sim,Não,58,Sim,Fibra ótica,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Um ano,Sim,Credit card (automatic),105.5,6205.5,3.51
114,Male,0,Sim,Não,10,Sim,Fibra ótica,Não,Não,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,85.25,855.3,2.59
115,Female,0,Não,Não,9,Não,Fibra ótica,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Credit card (automatic),75.2,633.85,2.11
116,Female,1,Sim,Não,6,Sim,Fibra ótica,Não,Não,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,84.35,474.9,2.26
117,Female,0,Sim,Sim,69,Não,Fibra ótica,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Um ano,Não,Bank transfer (automatic),84.45,5848.6,2.79
118,Female,1,Não,Não,66,Não,Fibra ótica,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Dois anos,Sim,Bank transfer (automatic),102.4,6471.85,3.22
119,Female,0,Não,Não,70,Sim,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Não,Credit card (automatic),115.55,8127.6,3.82
120,Male,0,Não,Não,25,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Sim,Um ano,Não,Bank transfer (automatic),25.3,676.35,0.87
121,Female,0,Sim,Sim,46,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Sim,Pagamento físico,19.25,864.2,0.61
122,Female,0,Sim,Não,54,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Um ano,Sim,Pagamento físico,114.65,6049.5,3.67
123,Female,0,Não,Não,15,Sim,Fibra ótica,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Mensal,Não,Débito eletrônico,105.1,1582.75,3.3
124,Female,0,Sim,Sim,12,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Bank transfer (automatic),19.4,198.1,0.51
125,Female,0,Não,Não,22,Não,DSL,Não,Sim,Não,Não,Sim,Sim,Não,Sem serviço telefônico,Mensal,Sim,Débito eletrônico,50.35,1098.85,1.59
126,Female,0,Sim,Não,70,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Não,Sem serviço telefônico,Dois anos,Não,Bank transfer (automatic),57.8,4039.3,1.9
127,Male,0,Não,Não,30,Não,Fibra ótica,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Credit card (automatic),84.3,2438.6,2.62
128,Male,0,Sim,Sim,71,Não,Fibra ótica,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Um ano,Não,Bank transfer (automatic),100.55,7113.75,3.29
129,Male,0,Sim,Não,30,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Não,Credit card (automatic),19.8,576.65,0.62
130,Male,0,Sim,Sim,4,Sim,Fibra ótica,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Mensal,Sim,Bank transfer (automatic),84.8,371.9,2.48
131,Male,0,Não,Não,2,Sim,Fibra ótica,Não,Não,Sim,Não,Não,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,85.85,167.3,1.86
132,Male,0,Não,Sim,10,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Um ano,Sim,Bank transfer (automatic),19.95,219.5,0.67
133,Male,1,Não,Não,4,Não,Fibra ótica,Sim,Não,Não,Não,Não,Não,Sim,Não,Mensal,Não,Débito eletrônico,75.35,273.4,1.82
134,Male,1,Não,Não,52,Não,DSL,Sim,Não,Não,Não,Sim,Sim,Não,Sem serviço telefônico,Mensal,Sim,Credit card (automatic),48.8,2555.05,1.61
135,Male,0,Não,Não,5,Sim,DSL,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Débito eletrônico,47.15,223.15,1.24
136,Male,0,Sim,Sim,8,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Dois anos,Não,Pagamento físico,20.15,165.5,0.61
137,Female,1,Não,Não,2,Não,DSL,Não,Não,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,44.3,89.3,0.99
138,Male,0,Não,Não,3,Não,Fibra ótica,Não,Sim,Não,Não,Não,Sim,Sim,Não,Mensal,Não,Débito eletrônico,84.3,235.05,1.96
139,Male,0,Não,Não,19,Não,DSL,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Mensal,Não,Débito eletrônico,59.55,1144.6,1.91
140,Male,0,Não,Não,72,Não,DSL,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Dois anos,Não,Bank transfer (automatic),69.65,4908.25,2.24
141,Male,1,Sim,Não,63,Não,DSL,Sim,Não,Não,Sim,Não,Não,Não,Sem serviço telefônico,Um ano,Não,Bank transfer (automatic),36.1,2298.9,1.2
142,Male,0,Sim,Não,66,Não,DSL,Sim,Sim,Sim,Sim,Sim,Não,Não,Sem serviço telefônico,Dois anos,Sim,Bank transfer (automatic),56.6,3789.2,1.89
143,Male,0,Não,Não,1,Sim,Fibra ótica,Não,Não,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Débito eletrônico,75.9,75.9,1.27
144,Female,0,Não,Não,60,Não,Fibra ótica,Não,Não,Sim,Não,Não,Não,Sim,Sim,Um ano,Sim,Bank transfer (automatic),79.2,4765.0,2.6
145,Female,0,Sim,Sim,48,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Não,Sem serviço telefônico,Um ano,Não,Credit card (automatic),45.0,2196.3,1.49
146,Female,0,Não,Não,1,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Não,Sim,Não,Mensal,Sim,Credit card (automatic),85.55,85.55,1.43
147,Male,0,Não,Não,15,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito eletrônico,93.35,1444.65,3.01
148,Female,0,Sim,Não,50,Não,Fibra ótica,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Bank transfer (automatic),109.65,5405.8,3.53
149,Male,0,Sim,Sim,72,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Credit card (automatic),89.7,6339.3,2.89
150,Female,0,Não,Não,46,Não,Fibra ótica,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Pagamento físico,84.25,3847.6,2.73
151,Female,0,Sim,Sim,72,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Bank transfer (automatic),92.65,6733.0,3.07
152,Male,0,Sim,Sim,1,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sim,Não,Mensal,Não,Pagamento físico,19.7,19.7,0.33
153,Female,0,Não,Não,1,Não,DSL,Não,Não,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Débito eletrônico,50.1,50.1,0.84
154,Female,1,Não,Não,67,Não,Fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Dois anos,Sim,Bank transfer (automatic),92.45,6140.85,3.01
155,Female,0,Sim,Sim,48,Não,DSL,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,Não,Débito eletrônico,79.65,3870.3,2.63
156,Female,0,Não,Não,72,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Dois anos,Sim,Débito eletrônico,109.9,7624.2,3.48
157,Male,0,Sim,Não,52,Não,DSL,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Um ano,Sim,Credit card (automatic),81.4,4354.45,2.74
158,Female,0,Sim,Sim,67,Não,DSL,Não,Sim,Não,Não,Não,Não,Sim,Não,Um ano,Não,Credit card (automatic),50.55,3431.75,1.68
159,Female,0,Sim,Sim,28,Sim,Fibra ótica,Não,Não,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Débito eletrônico,81.05,2227.1,2.56
